Whistle-blower;Word;Count;Percentage
Haugen;fu;1996;7,42%
Haugen;uck;1651;6,14%
Haugen;cum;1159;4,31%
Haugen;chin;282;1,05%
Haugen;butt;186;0,69%
Haugen;fear;168;0,62%
Haugen;destroy;93;0,35%
Haugen;fuck;59;0,22%
Haugen;fuck;59;0,22%
Haugen;harder;31;0,12%
Haugen;porn;25;0,09%
Haugen;suck;25;0,09%
Haugen;fucking;20;0,07%
Haugen;semen;19;0,07%
Haugen;vag;19;0,07%
Haugen;rape;16;0,06%
Haugen;lez;6;0,02%
Haugen;porno;6;0,02%
Haugen;Dix;5;0,02%
Haugen;homo;5;0,02%
Haugen;pornography;5;0,02%
Haugen;rapist;5;0,02%
Haugen;twat;5;0,02%
Haugen;twat;5;0,02%
Haugen;backdoor;4;0,01%
Haugen;cock;4;0,01%
Haugen;fucked;4;0,01%
Haugen;poon;4;0,01%
Haugen;pud;4;0,01%
Haugen;fucker;3;0,01%
Haugen;puss;3;0,01%
Haugen;fuckface;2;0,01%
Haugen;goddamn;2;0,01%
Haugen;molest;2;0,01%
Haugen;raped;2;0,01%
Haugen;transsexual;2;0,01%
Haugen;wank;2;0,01%
Haugen;wank;2;0,01%
Haugen;whore;2;0,01%
Haugen;amateur;1;0,00%
Haugen;Balls;1;0,00%
Haugen;banging;1;0,00%
Haugen;bastard;1;0,00%
Haugen;bastard;1;0,00%
Haugen;bunga;1;0,00%
Haugen;eat me;1;0,00%
Haugen;escort;1;0,00%
Haugen;fucka;1;0,00%
Haugen;genitals;1;0,00%
Haugen;hose job;1;0,00%
Haugen;kum;1;0,00%
Haugen;molester;1;0,00%
Haugen;mothafucka;1;0,00%
Haugen;motherfucker;1;0,00%
Haugen;nude;1;0,00%
Haugen;orgasm;1;0,00%
Haugen;penis;1;0,00%
Haugen;pudd;1;0,00%
Haugen;raper;1;0,00%
Haugen;schlong;1;0,00%
Haugen;tittie;1;0,00%
Haugen;titties;1;0,00%
Haugen;wanking;1;0,00%
Haugen;AnalAnnie;0;0,00%
Haugen;Angie;0;0,00%
Haugen;Aroused;0;0,00%
Haugen;assblaster;0;0,00%
Haugen;ass cowboy;0;0,00%
Haugen;ass jacker;0;0,00%
Haugen;AssMan;0;0,00%
Haugen;assranger;0;0,00%
Haugen;ass whore;0;0,00%
Haugen;Ass-assinate;0;0,00%
Haugen;ass-jabber;0;0,00%
Haugen;ass-pirate;0;0,00%
Haugen;assbandit;0;0,00%
Haugen;assbanger;0;0,00%
Haugen;assfuck;0;0,00%
Haugen;assfucker;0;0,00%
Haugen;asshopper;0;0,00%
Haugen;assklown;0;0,00%
Haugen;asslick;0;0,00%
Haugen;asslicker;0;0,00%
Haugen;asspacker;0;0,00%
Haugen;asspuppy;0;0,00%
Haugen;asssucker;0;0,00%
Haugen;backdoor man;0;0,00%
Haugen;Bad Fuck;0;0,00%
Haugen;Ball licker;0;0,00%
Haugen;beastiality;0;0,00%
Haugen;beaver;0;0,00%
Haugen;big butt;0;0,00%
Haugen;bitch ass;0;0,00%
Haugen;bitcher;0;0,00%
Haugen;bitchtits;0;0,00%
Haugen;bite me;0;0,00%
Haugen;Blowjob;0;0,00%
Haugen;blowjob;0;0,00%
Haugen;BOMD;0;0,00%
Haugen;boobies;0;0,00%
Haugen;boobs;0;0,00%
Haugen;BOONGA;0;0,00%
Haugen;brea5t;0;0,00%
Haugen;Breast Job;0;0,00%
Haugen;Breast Man;0;0,00%
Haugen;brothel;0;0,00%
Haugen;brotherfucker;0;0,00%
Haugen;buggery;0;0,00%
Haugen;bulldike;0;0,00%
Haugen;bulldyke;0;0,00%
Haugen;bumblefuck;0;0,00%
Haugen;Bunghole;0;0,00%
Haugen;ButchDyke;0;0,00%
Haugen;butt fucker;0;0,00%
Haugen;butt pirate;0;0,00%
Haugen;buttbang;0;0,00%
Haugen;Buttfuck;0;0,00%
Haugen;buttfucka;0;0,00%
Haugen;butthead;0;0,00%
Haugen;buttpirate;0;0,00%
Haugen;byatch;0;0,00%
Haugen;carpet muncher ;0;0,00%
Haugen;cherry popper;0;0,00%
Haugen;Chode;0;0,00%
Haugen;Clam digger;0;0,00%
Haugen;Clit;0;0,00%
Haugen;clitfuck;0;0,00%
Haugen;cock block;0;0,00%
Haugen;cock cowboy;0;0,00%
Haugen;cock fight;0;0,00%
Haugen;cock jockey;0;0,00%
Haugen;Cock knob;0;0,00%
Haugen;Cock Licker;0;0,00%
Haugen;Cock Smoke;0;0,00%
Haugen;cock suck;0;0,00%
Haugen;cock tease;0;0,00%
Haugen;cockblocker;0;0,00%
Haugen;Cockhead;0;0,00%
Haugen;cockmaster;0;0,00%
Haugen;cockmongler;0;0,00%
Haugen;cockmuncher;0;0,00%
Haugen;Cocknugget;0;0,00%
Haugen;Cockqueen;0;0,00%
Haugen;cockrider;0;0,00%
Haugen;cocksman;0;0,00%
Haugen;cocksmith;0;0,00%
Haugen;cocksmoker;0;0,00%
Haugen;cocksniffer;0;0,00%
Haugen;cocksucked;0;0,00%
Haugen;Cocksucker;0;0,00%
Haugen;Cocksucking;0;0,00%
Haugen;coochie;0;0,00%
Haugen;coochy;0;0,00%
Haugen;coondog;0;0,00%
Haugen;cornhole;0;0,00%
Haugen;crotchrot;0;0,00%
Haugen;cum bubble;0;0,00%
Haugen;cum guzzler;0;0,00%
Haugen;Cum jockey;0;0,00%
Haugen;cum tart;0;0,00%
Haugen;cumdumpster;0;0,00%
Haugen;cummer;0;0,00%
Haugen;cumming;0;0,00%
Haugen;Cumqueen;0;0,00%
Haugen;cumshot;0;0,00%
Haugen;cunilingus;0;0,00%
Haugen;cunnilingus;0;0,00%
Haugen;cunt ;0;0,00%
Haugen;cunt rag;0;0,00%
Haugen;Cuntass;0;0,00%
Haugen;cuntfuck;0;0,00%
Haugen;cuntfucker;0;0,00%
Haugen;cunthole;0;0,00%
Haugen;cuntlick;0;0,00%
Haugen;cuntlicker;0;0,00%
Haugen;cuntlicking;0;0,00%
Haugen;deepthroat ;0;0,00%
Haugen;dick beaters;0;0,00%
Haugen;Dick for brains;0;0,00%
Haugen;Dick Licker ;0;0,00%
Haugen;dick weasel;0;0,00%
Haugen;dick wod;0;0,00%
Haugen;Dickbag;0;0,00%
Haugen;Dickfuck;0;0,00%
Haugen;dickfucker;0;0,00%
Haugen;dicklick;0;0,00%
Haugen;dickman;0;0,00%
Haugen;dickmonger;0;0,00%
Haugen;dickslap;0;0,00%
Haugen;dicksucker;0;0,00%
